MV
3
6
[Pike, D], [Foster, D], [Deutsch, R], [Borg, R], [Jones, R], [Smith, I]
100
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
1,1,1,,,
1,,,1,,1
,1,,,1,
,,1,,1,
,1,,,,1
1,,,1,1,
,,1,1,,
1,,1,1,,
,1,,,1,1
1,,1,,1,
